Sentence,Emotion,Emotion_Guess
filtered_Ses01F_impro01_F000_l2600_h4250.wav,neu,neu
filtered_Ses01F_impro01_F001_l2600_h4250.wav,neu,neu
filtered_Ses01F_impro01_F002_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro01_F005_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro01_F012_l2600_h4250.wav,ang,hap
filtered_Ses01F_impro01_F014_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro01_M011_l2600_h4250.wav,ang,hap
filtered_Ses01F_impro01_M013_l2600_h4250.wav,ang,hap
filtered_Ses01F_impro02_F000_l2600_h4250.wav,sad,neu
filtered_Ses01F_impro02_F001_l2600_h4250.wav,sad,neu
filtered_Ses01F_impro02_F002_l2600_h4250.wav,sad,neu
filtered_Ses01F_impro02_F003_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro02_F004_l2600_h4250.wav,sad,neu
filtered_Ses01F_impro02_F005_l2600_h4250.wav,sad,hap
filtered_Ses01F_impro02_F006_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro02_F008_l2600_h4250.wav,sad,hap
filtered_Ses01F_impro02_F010_l2600_h4250.wav,sad,hap
filtered_Ses01F_impro02_F012_l2600_h4250.wav,sad,neu
filtered_Ses01F_impro02_F013_l2600_h4250.wav,sad,hap
filtered_Ses01F_impro02_F014_l2600_h4250.wav,sad,hap
filtered_Ses01F_impro02_F015_l2600_h4250.wav,sad,hap
filtered_Ses01F_impro02_F016_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro02_F017_l2600_h4250.wav,sad,hap
filtered_Ses01F_impro02_F018_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro02_F019_l2600_h4250.wav,sad,neu
filtered_Ses01F_impro02_F020_l2600_h4250.wav,sad,hap
filtered_Ses01F_impro02_M001_l2600_h4250.wav,sad,neu
filtered_Ses01F_impro02_M005_l2600_h4250.wav,sad,neu
filtered_Ses01F_impro02_M009_l2600_h4250.wav,sad,neu
filtered_Ses01F_impro02_M010_l2600_h4250.wav,sad,neu
filtered_Ses01F_impro02_M011_l2600_h4250.wav,sad,neu
filtered_Ses01F_impro02_M012_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro02_M013_l2600_h4250.wav,sad,neu
filtered_Ses01F_impro02_M014_l2600_h4250.wav,sad,hap
filtered_Ses01F_impro02_M015_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro03_F000_l2600_h4250.wav,hap,hap
filtered_Ses01F_impro03_F001_l2600_h4250.wav,hap,hap
filtered_Ses01F_impro03_F002_l2600_h4250.wav,hap,hap
filtered_Ses01F_impro03_F004_l2600_h4250.wav,hap,hap
filtered_Ses01F_impro03_F005_l2600_h4250.wav,hap,hap
filtered_Ses01F_impro03_F006_l2600_h4250.wav,hap,hap
filtered_Ses01F_impro03_F008_l2600_h4250.wav,hap,hap
filtered_Ses01F_impro03_F009_l2600_h4250.wav,hap,hap
filtered_Ses01F_impro03_F010_l2600_h4250.wav,hap,hap
filtered_Ses01F_impro03_F012_l2600_h4250.wav,hap,hap
filtered_Ses01F_impro03_F013_l2600_h4250.wav,hap,hap
filtered_Ses01F_impro03_F016_l2600_h4250.wav,hap,hap
filtered_Ses01F_impro03_F017_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro03_F018_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro03_F019_l2600_h4250.wav,neu,neu
filtered_Ses01F_impro03_F021_l2600_h4250.wav,hap,hap
filtered_Ses01F_impro03_F022_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro03_F023_l2600_h4250.wav,neu,neu
filtered_Ses01F_impro03_F024_l2600_h4250.wav,hap,hap
filtered_Ses01F_impro03_F025_l2600_h4250.wav,hap,hap
filtered_Ses01F_impro03_F026_l2600_h4250.wav,hap,hap
filtered_Ses01F_impro03_M000_l2600_h4250.wav,neu,neu
filtered_Ses01F_impro03_M001_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro03_M006_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro03_M007_l2600_h4250.wav,hap,hap
filtered_Ses01F_impro03_M008_l2600_h4250.wav,neu,neu
filtered_Ses01F_impro03_M009_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro03_M011_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro03_M013_l2600_h4250.wav,hap,hap
filtered_Ses01F_impro03_M014_l2600_h4250.wav,hap,hap
filtered_Ses01F_impro03_M015_l2600_h4250.wav,hap,hap
filtered_Ses01F_impro03_M016_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro03_M019_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro03_M020_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro03_M021_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro03_M023_l2600_h4250.wav,hap,hap
filtered_Ses01F_impro03_M024_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro04_F000_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro04_F001_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro04_F005_l2600_h4250.wav,neu,neu
filtered_Ses01F_impro04_F006_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro04_F009_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro04_F013_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro04_F014_l2600_h4250.wav,neu,neu
filtered_Ses01F_impro04_F028_l2600_h4250.wav,ang,hap
filtered_Ses01F_impro04_F029_l2600_h4250.wav,ang,hap
filtered_Ses01F_impro04_F030_l2600_h4250.wav,ang,hap
filtered_Ses01F_impro04_F031_l2600_h4250.wav,ang,hap
filtered_Ses01F_impro04_F032_l2600_h4250.wav,ang,hap
filtered_Ses01F_impro04_F033_l2600_h4250.wav,ang,hap
filtered_Ses01F_impro04_M000_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro04_M001_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro04_M002_l2600_h4250.wav,neu,neu
filtered_Ses01F_impro04_M003_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro04_M004_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro04_M005_l2600_h4250.wav,neu,neu
filtered_Ses01F_impro04_M006_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro04_M007_l2600_h4250.wav,neu,neu
filtered_Ses01F_impro04_M008_l2600_h4250.wav,neu,neu
filtered_Ses01F_impro04_M009_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro04_M010_l2600_h4250.wav,neu,neu
filtered_Ses01F_impro04_M011_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro04_M012_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro04_M013_l2600_h4250.wav,neu,neu
filtered_Ses01F_impro04_M014_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro04_M015_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro04_M016_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro04_M017_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro04_M018_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro04_M019_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro04_M020_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro04_M021_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro04_M022_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro04_M023_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro04_M024_l2600_h4250.wav,neu,neu
filtered_Ses01F_impro04_M025_l2600_h4250.wav,neu,neu
filtered_Ses01F_impro04_M026_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro04_M027_l2600_h4250.wav,neu,neu
filtered_Ses01F_impro04_M028_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro04_M031_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro04_M032_l2600_h4250.wav,neu,neu
filtered_Ses01F_impro05_F008_l2600_h4250.wav,ang,hap
filtered_Ses01F_impro05_F009_l2600_h4250.wav,ang,hap
filtered_Ses01F_impro05_F011_l2600_h4250.wav,ang,hap
filtered_Ses01F_impro05_F012_l2600_h4250.wav,ang,hap
filtered_Ses01F_impro05_F014_l2600_h4250.wav,ang,hap
filtered_Ses01F_impro05_F015_l2600_h4250.wav,ang,hap
filtered_Ses01F_impro05_F016_l2600_h4250.wav,ang,hap
filtered_Ses01F_impro05_F017_l2600_h4250.wav,ang,hap
filtered_Ses01F_impro05_F018_l2600_h4250.wav,ang,hap
filtered_Ses01F_impro05_F019_l2600_h4250.wav,ang,hap
filtered_Ses01F_impro05_F020_l2600_h4250.wav,ang,hap
filtered_Ses01F_impro05_F021_l2600_h4250.wav,ang,hap
filtered_Ses01F_impro05_F022_l2600_h4250.wav,ang,hap
filtered_Ses01F_impro05_F023_l2600_h4250.wav,ang,hap
filtered_Ses01F_impro05_F024_l2600_h4250.wav,ang,hap
filtered_Ses01F_impro05_F025_l2600_h4250.wav,ang,hap
filtered_Ses01F_impro05_F026_l2600_h4250.wav,ang,hap
filtered_Ses01F_impro05_F028_l2600_h4250.wav,ang,hap
filtered_Ses01F_impro05_F029_l2600_h4250.wav,ang,hap
filtered_Ses01F_impro05_F030_l2600_h4250.wav,ang,hap
filtered_Ses01F_impro05_M000_l2600_h4250.wav,neu,neu
filtered_Ses01F_impro05_M001_l2600_h4250.wav,hap,hap
filtered_Ses01F_impro05_M002_l2600_h4250.wav,hap,hap
filtered_Ses01F_impro05_M003_l2600_h4250.wav,neu,neu
filtered_Ses01F_impro05_M004_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro05_M005_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro05_M006_l2600_h4250.wav,neu,neu
filtered_Ses01F_impro05_M007_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro05_M008_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro05_M009_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro05_M010_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro05_M011_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro05_M012_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro05_M013_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro05_M014_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro05_M015_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro05_M016_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro05_M017_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro05_M019_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro05_M020_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro05_M022_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro05_M023_l2600_h4250.wav,neu,hap
filtered_Ses01F_impro05_M024_l2600_h4250.wav,neu,hap
