Folder,Dialogue_ID,Utterance_ID,Emotion,Emotion_Guess
dev,0,0,sad,hap
dev,100,0,neu,hap
dev,101,0,sad,hap
dev,102,0,neu,hap
dev,102,1,neu,neu
dev,103,0,neu,hap
dev,103,1,sad,hap
dev,103,2,hap,neu
dev,103,3,neu,hap
dev,103,4,hap,neu
dev,104,0,hap,hap
dev,104,14,hap,hap
dev,104,15,ang,hap
dev,104,1,sad,hap
dev,104,2,hap,neu
dev,104,3,neu,neu
dev,104,5,ang,neu
dev,104,6,hap,neu
dev,104,7,hap,hap
dev,105,0,neu,hap
dev,105,10,ang,hap
dev,105,11,ang,hap
dev,105,1,neu,neu
dev,105,2,ang,hap
dev,105,3,ang,hap
dev,105,4,hap,hap
dev,105,5,neu,hap
dev,105,6,neu,hap
dev,105,7,neu,hap
dev,105,8,hap,hap
dev,105,9,hap,hap
dev,106,0,neu,hap
dev,106,1,neu,hap
dev,106,2,neu,hap
dev,106,3,neu,hap
dev,106,4,hap,hap
dev,106,5,neu,hap
dev,107,0,neu,hap
dev,107,1,neu,hap
dev,108,10,hap,hap
dev,108,11,hap,hap
dev,108,13,neu,hap
dev,108,14,neu,hap
dev,108,3,ang,hap
dev,108,4,ang,neu
dev,108,5,ang,hap
dev,108,6,ang,hap
dev,108,8,sad,hap
dev,108,9,neu,hap
dev,109,0,neu,hap
dev,109,1,hap,hap
dev,109,3,sad,hap
dev,109,4,ang,hap
dev,109,5,neu,hap
dev,109,6,neu,neu
dev,109,7,neu,hap
dev,10,0,neu,neu
dev,10,1,neu,hap
dev,10,3,hap,hap
dev,10,4,ang,hap
dev,10,5,ang,neu
dev,10,6,ang,neu
dev,10,7,ang,hap
dev,10,8,neu,hap
dev,10,9,neu,hap
dev,110,0,neu,hap
dev,110,1,neu,hap
dev,110,2,neu,hap
dev,110,3,neu,hap
dev,110,4,neu,hap
dev,110,5,hap,hap
dev,110,6,hap,hap
dev,110,8,hap,hap
dev,110,9,hap,hap
dev,111,0,ang,hap
dev,111,1,neu,hap
dev,111,2,neu,hap
dev,112,0,ang,hap
dev,112,1,sad,hap
dev,112,2,neu,hap
dev,112,3,sad,hap
dev,112,4,neu,neu
dev,113,0,neu,hap
dev,113,10,sad,hap
dev,113,11,sad,hap
dev,113,12,sad,hap
dev,113,13,sad,hap
dev,113,1,sad,neu
dev,113,2,neu,neu
dev,113,3,sad,neu
dev,113,4,neu,hap
dev,113,5,neu,hap
dev,113,7,neu,hap
dev,113,8,sad,hap
dev,113,9,sad,hap
dev,11,0,neu,hap
dev,11,10,ang,hap
dev,11,11,neu,neu
dev,11,12,ang,hap
dev,11,1,neu,hap
dev,11,2,neu,neu
dev,11,4,ang,hap
dev,11,6,neu,hap
dev,11,8,ang,hap
dev,11,9,neu,neu
dev,12,0,neu,hap
dev,12,1,neu,neu
dev,12,2,neu,neu
dev,12,4,sad,hap
dev,13,0,neu,neu
dev,13,16,hap,hap
dev,13,17,neu,hap
dev,13,18,hap,hap
dev,13,1,ang,hap
dev,13,20,hap,neu
dev,13,21,hap,hap
dev,13,2,hap,hap
dev,13,3,hap,hap
dev,13,4,hap,hap
dev,13,8,hap,hap
dev,13,9,hap,hap
dev,14,0,hap,neu
dev,14,1,neu,hap
dev,14,2,neu,hap
dev,14,3,neu,neu
dev,14,4,ang,hap
dev,14,5,sad,neu
dev,14,6,sad,hap
dev,14,7,sad,hap
dev,14,8,ang,hap
dev,15,0,hap,hap
dev,15,1,hap,neu
dev,15,3,neu,hap
dev,15,5,neu,neu
dev,16,0,neu,hap
dev,16,10,sad,neu
dev,16,11,ang,hap
dev,16,12,ang,hap
dev,16,13,neu,hap
dev,16,14,sad,neu
dev,16,15,neu,hap
dev,16,16,ang,neu
dev,16,17,ang,hap
dev,16,18,sad,hap
dev,16,1,sad,hap
dev,16,3,hap,hap
dev,16,4,ang,hap
dev,16,5,neu,neu
dev,16,6,ang,hap
dev,16,7,ang,hap
dev,16,8,neu,hap
dev,17,0,ang,hap
dev,17,1,ang,hap
dev,17,2,ang,hap
dev,17,3,ang,hap
dev,17,4,ang,hap
dev,18,0,neu,neu
dev,18,10,ang,hap
dev,18,11,neu,hap
dev,18,13,ang,hap
dev,18,1,neu,neu
dev,18,2,neu,hap
dev,18,3,neu,hap
dev,18,9,neu,hap
dev,19,0,neu,neu
dev,19,10,sad,neu
dev,19,11,neu,hap
dev,19,12,neu,hap
dev,19,13,ang,hap
dev,19,14,sad,hap
dev,19,15,neu,hap
dev,19,16,hap,hap
dev,19,17,neu,hap
dev,19,18,sad,hap
dev,19,19,hap,hap
dev,19,1,ang,hap
dev,19,20,sad,hap
dev,19,21,hap,hap
